animal_id,name,datetime,found_location,type,intake_condition,sex,age,breed,color_primary,color_secondary,num_stays,avg_stay_len
A686559,*Winston,2014-08-23 14:07:00,11609 Crosstimber Dr in Austin (TX),Stray,Normal,Intact Male,5 years,Chihuahua Shorthair Mix,White,Tan,1,16.0
A686562,*Zooey,2014-08-23 14:21:00,12024 Plains Valley Dr in Del Valle (TX),Stray,Normal,Intact Female,1 month,Chihuahua Shorthair Mix,Black,,1,101.0
A686570,Lady Bug,2014-08-23 15:50:00,7203 Southwind Dr in Austin (TX),Stray,Normal,Intact Female,4 months,Chihuahua Shorthair Mix,Brown,White,1,4.0
A686574,Gucci,2014-08-23 16:04:00,14000 The Lakes Blvd in Austin (TX),Owner Surrender,Normal,Intact Female,1 year,Chihuahua Shorthair Mix,Tricolor,,1,4.0
A686588,Mia,2014-08-23 22:03:00,7907 Tapo Ln in Austin (TX),Stray,Normal,Intact Female,6 years,Dachshund,Brown,,1,8.0
A686595,*Petunia,2014-08-24 09:14:00,12034 Research Blvd. in Austin (TX),Stray,Normal,Intact Female,2 years,Labrador Retriever Mix,Tan,White,1,14.0
A686607,*Sophie,2014-08-24 12:07:00,Austin (TX),Owner Surrender,Normal,Intact Female,3 years,Australian Shepherd Mix,Tricolor,,1,15.0
A686608,Fido,2014-08-24 12:07:00,Austin (TX),Owner Surrender,Normal,Intact Male,1 year,Australian Shepherd Mix,Tricolor,,1,20.0
A686611,Fezzik,2014-08-24 12:42:00,Grayledge Dr & Potomac Path in Austin (TX),Stray,Normal,Intact Male,1 year,Anatol Shepherd Mix,Tan,Black,1,5.0
A686612,Serious,2014-08-24 13:03:00,E Howard Ln And Mcallen St in Austin (TX),Stray,Normal,Intact Male,2 months,Miniature Schnauzer Mix,Black,,1,5.0
A686628,Oliver,2014-08-24 15:00:00,Austin (TX),Owner Surrender,Normal,Neutered Male,2 months,Border Collie Mix,White,Black,1,4.0
A686629,Dot,2014-08-24 15:00:00,Austin (TX),Owner Surrender,Normal,Spayed Female,2 months,Border Collie Mix,White,Black,1,1.0
A686630,Lacey,2014-08-24 15:00:00,Austin (TX),Owner Surrender,Normal,Spayed Female,3 months,Border Collie Mix,Brown,White,1,1.0
A686631,Kasey,2014-08-24 15:00:00,Austin (TX),Owner Surrender,Normal,Spayed Female,1 month,Border Collie Mix,Brown,White,1,3.0
A686634,Sammy,2014-08-24 16:21:00,5801 Ainez Dr in Austin (TX),Stray,Normal,Intact Female,4 months,Labrador Retriever Mix,Yellow,,1,4.0
A686635,Pixie,2014-08-24 16:05:00,Lindshire And Slaughter Ln in Austin (TX),Stray,Normal,Intact Female,1 year,Pit Bull Mix,Tan,,1,40.0
A686636,*Otis,2014-08-24 16:05:00,Lindshire And Slaughter Ln in Austin (TX),Stray,Normal,Intact Male,7 months,Australian Cattle Dog Mix,Tan,,1,18.0
A686644,N/A,2014-08-24 17:34:00,Old Harbor Ln in Austin (TX),Stray,Normal,Intact Male,2 months,Chihuahua Shorthair Mix,Black,Tan,1,4.0
A686645,N/A,2014-08-24 17:34:00,Old Harbor Ln in Austin (TX),Stray,Normal,Intact Female,2 months,Chihuahua Shorthair Mix,Tan,White,1,4.0
A686660,N/A,2014-08-25 10:44:00,Outside Jurisdiction,Stray,Normal,Intact Female,6 months,Siberian Husky Mix,Red,White,1,7.0
A686666,Ellie,2014-08-25 11:04:00,11248 Tom Sassman in Austin (TX),Stray,Normal,Intact Female,6 months,German Shepherd Mix,White,White,1,7.0
A686675,Brisket,2014-08-25 11:35:00,North Lamar And West Rundburg in Austin (TX),Stray,Normal,Intact Male,1 year,Pit Bull Mix,Tan,White,1,61.0
A686681,Tiger,2014-08-25 12:33:00,8220 W Hwy 71 in Austin (TX),Stray,Normal,Neutered Male,7 years,Dutch Shepherd,Yellow,White,1,111.0
A686686,Ginger,2014-08-25 13:22:00,5106 Village Square in Austin (TX),Stray,Normal,Intact Female,2 months,Labrador Retriever Mix,Brown,,1,8.0
A686690,Bella,2014-08-25 14:01:00,5421 Summer Circle in Austin (TX),Stray,Normal,Spayed Female,5 months,Blue Lacy Mix,Blue,White,3,7.666666666666667
A686693,Chata,2014-08-25 15:05:00,Parmer/Mopac in Austin (TX),Stray,Normal,Intact Female,3 years,English Bulldog Mix,Brown,White,1,7.0
